Sentence,Emotion
"Không phải ai cô đơn cũng yếu đuối – có những nỗi cô đơn giúp ta tự lớn lên, lặng lẽ nhưng kiên cường. 'Trăm Năm Cô Đơn' không chỉ là câu chuyện về một dòng họ, mà còn là tấm gương soi lại chính chúng ta – những kẻ vừa khao khát kết nối, vừa cần được một mình để hiểu lấy mình. Mình cũng hay ghi lại vài suy tư như thế qua những video ngắn – nếu bạn đang đi qua mùa lặng, có thể ghé qua, biết đâu bạn sẽ tìm thấy một chút đồng cảm",Enjoyment
"Mình ko ham danh, lợi nhưng mình thích sống 1 mình, ko thích phiền đến ai và rất thương người lương thiện nghèo khổ .",Enjoyment
Có một khoảng thời gian sau chia tay: Mình thật sự cảm thấy rất cô đơn. Mà sau mình nhận ra cảm xúc của mình bị phụ thuộc vào người khác quá. Rồi mình bắt đầu học cách tận hưởng sự một mình. Quả thật lúc đầu thật sự khá khó khăn. Nhưng hiện tại nó là một điều thật sự thú vị. Mình yêu bản thân mình hơn bao giờ hết ️,Fear
"Sau nhiều biến cố trong đời, tôi yêu thích sự cô đơn, tôi dành thời gian cho mình, thoải mái và bình yên.",Enjoyment
"Có thời gian mình thật sự rất cô đơn, mình nghe Better Version và tôi luyện nội tâm. Dần dần ko phụ thuộc vui buồn vào bất cứ ai, điều gì, nếu có thì cũng 1 ít thôi. Mình yêu bản thân hơn, tự khám phá những điều mới lạ, chơi thể thao và thấy tự tin độc lập hơn. Sau này khi có ny, đến khi cưới rất hạnh phúc nhưng khi nào nhớ lại quãng thời gian đó mình đều thấy rất tự hào, ai nhìn vào sẽ nghĩ làm mọi việc 1 mình sẽ buồn, nhưng ko, cảm giác tận hưởng cuộc sống của chính mình thật hạnh phúc, rất enjoy luôn. Chúc mn nghe Better Version sẽ có sức mạnh nội tại và sống trọn từng khoảnh khắc. ",Enjoyment
Đừng sợ cô đơn Vì bạn vốn viên mãn rồi,Fear
"Sau một thời gian nghe kênh Youtube này, theo suy đoán của mình thì admin kênh này là một người sống nội tâm, sống giàu tình cảm.",Other
"Nếu nhìn nhận trên góc nhìn của Phật giáo thì chúng ta không hề cô đơn . Vạn vật không hề tách rời nhau, đều phụ thuộc tương hỗ lẫn nhau thông qua năng lượng mà mắt thường không thể thấy được . Theo trải nghiệm của mình, cô đơn chỉ là một dạng cảm xúc mà thôi . Lúc chúng ta nhận ra chúng ta không phải là những cảm xúc này , chúng ta sẽ có sự tự do tuyệt đối và trải nghiệm mọi điều tích cực và tiêu cực . Cảm ơn kênh đã cho mình thêm một góc nhìn tích cực về nỗi cô đơn . Mong kênh sẽ tiếp tục tạo ra thêm những video giá trị .",Enjoyment
"Tuy bên ngoài cười nói vui vẻ dễ bắt chuyện với người khác nhưng tôi thích có nhiều thời gian một mình hơn, để suy ngẫm về cuộc sống, mối quan hệ, tình cảm, làm bạn với bản thân.",Enjoyment
"Có một khoảng thời gian vài năm tôi được sống một mình trong một căn hộ nhỏ, hằng ngày đi làm một cv bình thường, cuối tuần ngồi một mình nghe một bản nhạc, chăm sóc vài chậu hoa. Không người yêu, không gia đình bên cạnh nhưng nó cho tôi một cảm giác trên cả tuyệt vời mà không phải cô đơn. Khi đã lấy chồng thì cảm giác cô đơn lại chất chứa trong lòng. Một nỗi buồn vô tận, một gánh nặng vô hình từ sự thiếu người thấu hiểu và trách nhiệm cuộc đời. Giờ đây tôi khao khát một cuộc sống tự do trong cô đơn mà tôi biết sẽ không bao giờ có được nữa.",Enjoyment
